,Unnamed: 0,Date,Home_Team,Away_Team,Field_Goal,Field_Goal_Attempts,Field_Goal_%,2Point,2Point_Attempts,2Point_%,3Point,3Point_Attempts,3Point_%,Free_Throw,Free_Throw_Attempt,Free_Throw_%,Points,Away_Field_Goal,Away_Field_Goal_Attempts,Away_Field_Goal_%,Away_2Point,Away_2Point_Attempts,Away_2Point_%,Away_3Point,Away_3Point_Attempts,Away_3Point_%,Away_Free_Throw,Away_Free_Throw_Attempt,Away_Free_Throw_%,Away_Points,Offensive_Efficiency,Away_Offensive_Efficiency,ielo,away_ielo,Away_ielo
733,733,2019-01-26,POR,ATL,41,82,0.5,30,52,0.577,11,30,0.367,27,30,0.9,120,42,92,0.457,30,59,0.508,12,33,0.364,15,20,0.75,111,146.34146341463415,120.65217391304348,1500,1500,1500
734,734,2019-01-27,CHI,CLE,39,88,0.443,30,62,0.484,9,26,0.346,14,17,0.824,101,39,92,0.424,26,58,0.448,13,34,0.382,13,15,0.867,104,114.77272727272728,113.04347826086956,1500,1500,1500
735,735,2019-01-27,DAL,TOR,43,88,0.489,32,52,0.615,11,36,0.306,23,34,0.676,120,37,83,0.446,20,49,0.408,17,34,0.5,32,38,0.842,123,136.36363636363637,148.19277108433735,1500,1500,1500
736,736,2019-01-27,HOU,ORL,38,80,0.475,26,44,0.591,12,36,0.333,15,21,0.714,103,39,97,0.402,29,62,0.468,10,35,0.286,10,17,0.588,98,128.75,101.03092783505154,1500,1500,1500
737,737,2019-01-27,LAC,SAC,42,88,0.477,31,59,0.525,11,29,0.379,27,29,0.931,122,37,93,0.398,29,57,0.509,8,36,0.222,26,30,0.867,108,138.63636363636363,116.12903225806453,1500,1500,1500
738,738,2019-01-27,LAL,PHO,47,89,0.528,37,66,0.561,10,23,0.435,12,18,0.667,116,34,85,0.4,27,59,0.458,7,26,0.269,27,32,0.844,102,130.3370786516854,120.0,1500,1500,1500
739,739,2019-01-27,MIN,UTA,37,77,0.481,20,41,0.488,17,36,0.472,20,23,0.87,111,46,86,0.535,31,47,0.66,15,39,0.385,18,25,0.72,125,144.15584415584414,145.3488372093023,1500,1500,1500
740,740,2019-01-27,NYK,MIA,36,84,0.429,29,58,0.5,7,26,0.269,18,24,0.75,97,39,84,0.464,27,51,0.529,12,33,0.364,16,18,0.889,106,115.47619047619048,126.1904761904762,1500,1500,1500
741,741,2019-01-27,OKC,MIL,44,94,0.468,28,62,0.452,16,32,0.5,14,25,0.56,118,39,91,0.429,24,54,0.444,15,37,0.405,19,28,0.679,112,125.531914893617,123.07692307692308,1500,1500,1500
742,742,2019-01-27,SAS,WAS,49,86,0.57,33,52,0.635,16,34,0.471,18,21,0.857,132,40,89,0.449,22,43,0.512,18,46,0.391,21,29,0.724,119,153.48837209302326,133.7078651685393,1500,1500,1500
743,743,2019-01-28,BOS,BRK,45,100,0.45,32,60,0.533,13,40,0.325,9,10,0.9,112,39,103,0.379,26,69,0.377,13,34,0.382,13,16,0.813,104,112.0,100.97087378640776,1500,1500,1500
744,744,2019-01-28,CHO,NYK,39,94,0.415,28,60,0.467,11,34,0.324,12,16,0.75,101,34,85,0.4,27,62,0.435,7,23,0.304,17,26,0.654,92,107.4468085106383,108.23529411764706,1500,1500,1500
745,745,2019-01-28,IND,GSW,40,94,0.426,28,64,0.438,12,30,0.4,8,10,0.8,100,53,98,0.541,40,67,0.597,13,31,0.419,13,16,0.813,132,106.38297872340424,134.6938775510204,1500,1500,1500
